Mean,Color,Period,Period_fit,Amplitude,Std,Autocorrelatio_ length,Beyond1Std,FluxPercentileRatioMid20,Meanvariance,MedianAbsDev,Rcs,Skew,SmallKurtosis
-7.250478136,-0.356995629,2627.169259,7.68E-99,0.127,0.06357323,0.026157,0.278136201,0.138755981,-0.008768143,0.038,0.275917372,0.512233303,1.389718452
-6.466679894,-0.520699125,1964.134019,1.88E-11,0.16525,0.076998046,1.024734,0.185185185,0.123853211,-0.01190689,0.0335,0.207167401,-1.929377634,7.272568508
-5.348539568,-0.435427419,2544.925717,7.58E-18,0.146,0.072599648,15.233322,0.291366906,0.130612245,-0.013573733,0.04,0.300025423,0.387354971,0.318671383
-6.788524364,-0.260269398,5435.398218,7.99E-132,0.132,0.072472975,306.215875,0.316737288,0.148471616,-0.010675807,0.045,0.372110185,-0.547137557,-0.031463021
-4.91597619,0.386471627,2698.898692,3.68E-77,0.48125,0.24569608,0.319352,0.251831502,0.168627451,-0.049979103,0.1505,0.283296735,0.46464571,1.554634499
-7.663625821,-0.094687359,3976.111112,5.96E-159,0.178,0.108205504,502.738169,0.401531729,0.318032787,-0.014119362,0.095,0.432926137,0.278681591,-0.762969365
-6.749141961,-0.290107831,3243.665167,1.73E-94,0.166,0.082485998,5.465194,0.297254902,0.118081181,-0.012221701,0.043,0.305262339,-0.583948532,1.151086733
-6.377084128,-0.354688053,5445.695556,9.26E-82,0.106,0.057065557,0.321354,0.255854293,0.131428571,-0.008948534,0.031,0.267160736,-0.06383566,4.734699739
-5.923314773,-0.068945987,4078.243056,1.75E-62,0.15225,0.083763831,2.804362,0.244318182,0.165991903,-0.014141378,0.054,0.30096214,1.060445838,3.201194272
-7.125772517,-0.092546711,2718.828704,4.38E-85,0.06,0.034059996,0.541758,0.316397229,0.188118812,-0.004779832,0.024,0.333743475,-0.404054648,2.26350142
-6.619540728,-0.40167168,2290.060387,4.81E-46,0.12675,0.058357045,0.950417,0.289428076,0.126262626,-0.008815875,0.032,0.314695293,-0.336809437,0.639247031
-6.642755538,-0.316095259,907.007207,1.70E-60,0.1155,0.058796524,0.491043,0.297468354,0.120418848,-0.008851225,0.035,0.20532074,0.257175428,1.337387586
-5.484275827,0.689526213,651.7442234,4.46E-29,0.223,0.112304899,1.751529,0.238716148,0.123563218,-0.020477617,0.062,0.203408993,-0.596050733,4.596847249
-5.642367171,-0.471827025,2722.812141,3.53E-30,0.1645,0.081391059,0.980393,0.220302376,0.129032258,-0.014424985,0.039,0.281796992,0.512556846,3.911322392
-6.893553125,-0.325971565,3280.502264,2.26E-87,0.1005,0.05732529,0.140417,0.238541667,0.172222222,-0.008315783,0.034,0.35495606,0.82246783,0.040709226
-5.738247462,0.067121261,740.6786523,1.93E-100,0.4645,0.241899295,0.247429,0.28680203,0.138339921,-0.042155605,0.156,0.190466809,0.256132959,1.850041315
-6.263026895,-0.37482324,3257.703694,2.30E-66,0.178,0.107976416,281.015196,0.435207824,0.215434084,-0.017240293,0.088,0.426529243,-0.217096158,-1.075020903
-6.905227088,0.706035963,733.8568784,1.15E-61,0.166,0.083031442,123.731576,0.307535642,0.161870504,-0.012024433,0.0525,0.210818473,-0.08466912,0.058672104
-7.535641359,-0.324157991,1223.42586,3.84E-88,0.117,0.065609372,152.17159,0.263736264,0.188405797,-0.008706541,0.045,0.25707947,0.532648483,-0.29474088
-7.307049251,-0.1668401,582.3640948,4.08E-29,0.107,0.055436498,19.588512,0.301927195,0.16091954,-0.007586715,0.036,0.219908199,0.461849706,1.329888013
-6.417344607,-0.390853536,1811.905015,9.50E-39,0.116,0.05880362,0.210302,0.254113346,0.13559322,-0.009163232,0.035,0.218566282,0.133242275,3.211053259
-7.286571429,0.023690696,949.6987091,1.94E-62,0.09975,0.048952531,74.382529,0.300936768,0.098159509,-0.006718184,0.0265,0.150489565,0.693300211,0.666388254
-7.686661058,-0.399104357,1480.774406,1.17E-25,0.07425,0.037024654,13.236223,0.331730769,0.11023622,-0.004816741,0.023,0.252207525,0.653270422,0.506162629
-5.593607261,0.002418876,1968.597977,1.25E-145,0.404,0.23686944,24.518144,0.339933993,0.221140473,-0.042346455,0.173,0.415611366,0.455652146,-0.631325841
-6.199351171,0.421679132,0.997651856,3.14E-37,0.205,0.095630854,13.502775,0.236343367,0.109375,-0.015425946,0.048,0.245911397,0.917341467,2.632297069
-6.649898564,-0.042178752,4084.257274,2.46E-161,0.122,0.071318561,0.319374,0.293536804,0.141552511,-0.010724759,0.038,0.388180656,-0.799800667,-0.377686243
-6.825402141,-0.461580201,3259.251598,8.59E-142,0.1275,0.06758333,0.314514,0.308868502,0.177777778,-0.009901736,0.047,0.33179392,0.156114871,-0.295396693
-8.228273177,-0.199253424,8168.435763,3.92E-156,0.15325,0.088345908,464.542506,0.38566131,0.204301075,-0.010736871,0.066,0.429251809,0.389664271,-0.942977467
-7.235793991,-0.376067534,2721.783935,1.03E-58,0.1585,0.07571196,175.194008,0.253218884,0.143382353,-0.010463532,0.0455,0.362892695,-0.697600174,0.486871293
-6.42458658,-0.32344084,2333.838978,1.69E-48,0.123,0.069671586,168.059177,0.294372294,0.117370892,-0.010844524,0.036,0.353956717,0.148381572,1.373601695
-7.133821086,-0.361434309,4081.532431,1.54E-91,0.11,0.060526444,0.312848,0.352236422,0.194736842,-0.008484435,0.045,0.320219469,-0.140343893,-0.529642802
